Distance (km),Terrain,Weather,Speed (km/h)
10,Desert,Sunny,30
5,Forest,Rainy,20
15,Mountain,Snowy,10
8,Desert,Sunny,35
12,Forest,Cloudy,25
7,Mountain,Sunny,15
18,Desert,Cloudy,40
9,Mountain,Rainy,12
20,Desert,Snowy,28
13,Forest,Sunny,33
6,Mountain,Cloudy,22
11,Desert,Rainy,18
14,Forest,Snowy,8
16,Mountain,Cloudy,19
22,Desert,Sunny,32
17,Forest,Rainy,21
19,Mountain,Cloudy,17
24,Desert,Snowy,25
21,Forest,Sunny,29
23,Mountain,Rainy,11
25,Desert,Sunny,36
28,Forest,Cloudy,27
27,Mountain,Sunny,16
26,Desert,Cloudy,38
30,Mountain,Rainy,13
29,Desert,Snowy,26
31,Forest,Sunny,31
32,Mountain,Cloudy,20
34,Desert,Sunny,34
33,Forest,Rainy,23
35,Mountain,Snowy,9
37,Desert,Cloudy,37
36,Forest,Sunny,24
38,Mountain,Rainy,14
40,Desert,Snowy,31
41,Forest,Cloudy,21
42,Mountain,Sunny,19
43,Desert,Cloudy,39
45,Forest,Rainy,16
44,Mountain,Sunny,33
46,Desert,Rainy,12
47,Forest,Snowy,7
49,Mountain,Cloudy,29
48,Desert,Sunny,35
50,Forest,Rainy,22
52,Mountain,Cloudy,18
51,Desert,Snowy,28
53,Forest,Sunny,34
55,Mountain,Rainy,13
54,Desert,Cloudy,40
56,Forest,Snowy,10
57,Mountain,Sunny,31
59,Desert,Snowy,25
58,Forest,Cloudy,20
60,Mountain,Cloudy,17
62,Desert,Rainy,16
61,Forest,Sunny,32
63,Mountain,Cloudy,19
64,Desert,Sunny,36
66,Forest,Rainy,12
65,Mountain,Snowy,8
68,Desert,Cloudy,38
67,Forest,Sunny,23
69,Mountain,Rainy,15
71,Desert,Snowy,27
70,Forest,Cloudy,21
72,Mountain,Cloudy,18
74,Desert,Sunny,32
73,Forest,Rainy,14
75,Mountain,Snowy,9
77,Desert,Cloudy,37
76,Forest,Sunny,25
79,Mountain,Rainy,11
78,Desert,Snowy,28
80,Forest,Cloudy,19
82,Mountain,Cloudy,16
81,Desert,Rainy,15
83,Forest,Sunny,33
84,Mountain,Cloudy,20
86,Desert,Cloudy,39
85,Forest,Rainy,13
87,Mountain,Snowy,7
88,Desert,Sunny,34
89,Forest,Cloudy,22
91,Mountain,Cloudy,17
90,Desert,Snowy,26
93,Forest,Rainy,10
92,Mountain,Sunny,30
95,Desert,Cloudy,38
94,Forest,Sunny,26
96,Mountain,Rainy,9
97,Desert,Snowy,28
98,Forest,Cloudy,21
100,Mountain,Cloudy,17
99,Desert,Rainy,16
101,Forest,Sunny,32
102,Mountain,Cloudy,20
104,Desert,Cloudy,39
103,Forest,Rainy,13
105,Mountain,Snowy,7
107,Desert,Sunny,34
106,Forest,Cloudy,22
109,Mountain,Cloudy,18
108,Desert,Snowy,27
111,Forest,Rainy,11
110,Mountain,Cloudy,19
112,Desert,Sunny,36
113,Forest,Rainy,12
115,Mountain,Snowy,8
114,Desert,Cloudy,38
116,Forest,Sunny,23
118,Mountain,Rainy,15
117,Desert,Snowy,28
119,Forest,Cloudy,21
120,Mountain,Cloudy,16
122,Desert,Rainy,15
121,Forest,Sunny,31
123,Mountain,Cloudy,20
125,Desert,Cloudy,37
124,Forest,Rainy,14
126,Mountain,Snowy,9
128,Desert,Sunny,35
127,Forest,Cloudy,22
130,Mountain,Cloudy,18
129,Desert,Snowy,27
132,Forest,Rainy,11
131,Mountain,Cloudy,19
134,Desert,Sunny,36
133,Forest,Rainy,12
135,Mountain,Snowy,8
136,Desert,Cloudy,38
139,Forest,Sunny,23
138,Mountain,Rainy,15
141,Desert,Cloudy,37
140,Forest,Snowy,10
143,Mountain,Cloudy,20
142,Desert,Rainy,16
145,Forest,Sunny,32
144,Mountain,Cloudy,20
148,Desert,Cloudy,39
146,Forest,Rainy,13
149,Mountain,Snowy,7
151,Desert,Sunny,34
150,Forest,Cloudy,22
154,Mountain,Cloudy,18
153,Desert,Snowy,27
157,Forest,Rainy,11
155,Mountain,Cloudy,19
159,Desert,Sunny,36
158,Forest,Rainy,12
160,Mountain,Snowy,8
162,Desert,Cloudy,38
161,Forest,Sunny,23
165,Mountain,Rainy,15
163,Desert,Cloudy,37
167,Forest,Snowy,10
166,Mountain,Cloudy,20
170,Desert,Rainy,16
168,Forest,Sunny,32
172,Mountain,Cloudy,20
171,Desert,Cloudy,39

